branch,radius_mm,gate_mm,reachable_voxel_coverage,reachable_patient_mean,reachable_patient_median,reachable_patient_iqr25,reachable_patient_iqr75,reachable_eligible_cases,overall_voxel_coverage,overall_patient_mean,overall_patient_median,overall_patient_iqr25,overall_patient_iqr75,overall_error_cases
pos,2.0,0.0,0.0,0.0,0.0,0.0,0.0,97,0.005790579206365307,0.005589169866994916,0.005037783375314861,0.00381858777523859,0.007334079999235006,99
pos,2.0,1.0,0.00023850230594071585,0.00021079732685583207,0.0,0.0,0.0,97,0.006025616602052,0.005794134659978351,0.005037783375314861,0.00381858777523859,0.007620545314784533,99
pos,2.0,2.0,0.010505398939041321,0.010254292582964076,0.008996575167407862,0.0068447106276355195,0.01349186272029682,97,0.016143357966901785,0.015568910946986128,0.01398636964703489,0.010607188264551638,0.020661044854749372,99
pos,2.0,3.0,0.02295521930914669,0.022354665850446324,0.020242294126667688,0.015151515151515152,0.029513034923757994,97,0.028412310021747145,0.027345677634395278,0.024892822569492462,0.01849324541247085,0.0363762687251791,99
pos,2.0,4.0,0.03268360284093905,0.031808082282897825,0.029617928719518214,0.021167557932263815,0.04149472718936268,97,0.03799936168791487,0.036546687750322514,0.033949453036589965,0.02485407770803913,0.048658498499694655,99
pos,2.0,5.0,0.048428520858909564,0.04639651631808945,0.04376784015223597,0.03042929292929293,0.059517953762911954,97,0.05351554092001059,0.050744058208491545,0.04754332962315153,0.032799404292997526,0.06633659330711728,99
pos,2.0,6.0,0.08384485801581144,0.0784727931862251,0.0726790450928382,0.05152,0.10132808657156911,97,0.08841735714055979,0.08195807915465593,0.07708553326293559,0.05159652373971629,0.10802571769952612,99
pos,2.0,7.0,0.11199691704387689,0.10374941437647628,0.1012908197668818,0.0641958967571145,0.13405598243688255,97,0.11616042910406219,0.10655589425837822,0.1015625,0.06624636640022037,0.13897987974160497,99
pos,2.0,8.0,0.13490820171771872,0.12411829073833076,0.12011105746016418,0.07544672402382528,0.16239457582272201,97,0.13873886355708068,0.1263793680521293,0.12322394065132654,0.07757981605695723,0.16650093550397355,99
pos,2.0,9.0,0.16171335035486634,0.1474480451956584,0.14537873523280057,0.08816,0.18885397717876634,97,0.1651545927544156,0.14908534878369292,0.14783081735346118,0.08899010885342071,0.1946746885048794,99
pos,2.0,10.0,0.18296013998830082,0.16581317843036508,0.16205241786637137,0.09905140083829693,0.21724684353115575,97,0.18609271359332594,0.16696023807477187,0.1654995730145175,0.099753359414161,0.22100625986335187,99
pos,2.0,11.0,0.21538264556799952,0.1938562326718133,0.1904370461707083,0.11565175254401551,0.2597873671044403,97,0.2180441919785448,0.19425639655857144,0.19473494410385864,0.11490945244881588,0.26488952875807226,99
pos,2.0,12.0,0.2427275625817498,0.21720608557190432,0.21249385145105756,0.12932103016113483,0.29821792260692465,97,0.24499184791348644,0.21698617681604498,0.21564189613982146,0.12873585422517003,0.3015133917595476,99
pos,2.0,13.0,0.2667911899758736,0.23759073524498991,0.231274472653783,0.14053254437869822,0.3328040647824706,97,0.2687058840993491,0.23683026649756703,0.2347541808122721,0.1398527358130146,0.33388451511524586,99
pos,2.0,14.0,0.28703501464906267,0.2544890041935832,0.24617910824807376,0.1495007396449704,0.35774647887323946,97,0.2886556108374506,0.2532808760055305,0.24753289473684212,0.15118112467420097,0.3595333160403552,99
pos,2.0,15.0,0.30610892274784784,0.2704950121472,0.26111416026344675,0.15874630177514792,0.37842778793418647,97,0.3074524172977627,0.2688634160725744,0.26192781081454847,0.1605710839301415,0.380866141371742,99
pos,2.0,16.0,0.3284703968427316,0.28945423829217165,0.2788047255038221,0.17243319268635723,0.4130929459128304,97,0.32948902870177715,0.287320983149405,0.28239524270502003,0.17250943353369466,0.41515594528878225,99
pos,2.0,17.0,0.35149089046718834,0.30871552705936034,0.3029425217258728,0.1833306412534324,0.4342776426273248,97,0.35217508554124166,0.30607422482684954,0.2994053381275066,0.18103013429847814,0.43732889932397473,99
pos,2.0,18.0,0.3717535442697938,0.32566776122280117,0.3148237566393047,0.19043773219189145,0.45644119826399915,97,0.37214336786321317,0.32257980635087763,0.31392615129304385,0.18755294664897298,0.4592302262942258,99
